name,price,rating,nb_ratings,link,scrape_date
Apple iPhone 14 (128 Go) - Minuit,849.0,4.6,3037,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0MjYwMDA4MzIxMjc0NjAwOjE2OTI4NjY0NTE6c3BfYXRmOjIwMDc2OTU0ODk5ODk4OjowOjo&url=%2FApple-iPhone-14-128-Go%2Fdp%2FB0BDJH7J5C%2Fref%3Dsr_1_1_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3DUCBRMVJMBMGK%26keywords%3DiPhone%2B14%26qid%3D1692866451%26sprefix%3Diphone%2B14%252Caps%252C74%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2023-08-24 10:40:55
Apple iPhone 14 Pro (128 Go) - Noir sidéral,1109.0,4.3,2831,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0MjYwMDA4MzIxMjc0NjAwOjE2OTI4NjY0NTE6c3BfYXRmOjIwMDc2OTU0OTAyOTk4OjowOjo&url=%2FApple-iPhone-14-Pro-128%2Fdp%2FB0BDJ61GFY%2Fref%3Dsr_1_2_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3DUCBRMVJMBMGK%26keywords%3DiPhone%2B14%26qid%3D1692866451%26sprefix%3Diphone%2B14%252Caps%252C74%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2023-08-24 10:40:55
Apple iPhone 13 (128 Go) - Vert,779.0,4.6,5115,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0MjYwMDA4MzIxMjc0NjAwOjE2OTI4NjY0NTE6c3BfYXRmOjIwMDM1MjYwMTM4MTk4OjowOjo&url=%2FApple-iPhone-13-128-Go%2Fdp%2FB09V3KN99J%2Fref%3Dsr_1_3_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3DUCBRMVJMBMGK%26keywords%3DiPhone%2B14%26qid%3D1692866451%26sprefix%3Diphone%2B14%252Caps%252C74%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2023-08-24 10:40:55
Apple iPhone 13 Mini (128 Go) - Minuit,699.0,4.6,3226,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0MjYwMDA4MzIxMjc0NjAwOjE2OTI4NjY0NTE6c3BfYXRmOjIwMDM1MjYwMTMxMTk4OjowOjo&url=%2FApple-iPhone-13-Mini-128-Go-Minuit%2Fdp%2FB09G9GH7KC%2Fref%3Dsr_1_4_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3DUCBRMVJMBMGK%26keywords%3DiPhone%2B14%26qid%3D1692866451%26sprefix%3Diphone%2B14%252Caps%252C74%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2023-08-24 10:40:55
Apple iPhone 14 (128 Go) - Minuit,849.0,4.6,3037,https://www.amazon.fr/Apple-iPhone-14-128-Go/dp/B0BDJH7J5C/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=UCBRMVJMBMGK&keywords=iPhone+14&qid=1692866451&sprefix=iphone+14%2Caps%2C74&sr=8-5,2023-08-24 10:40:55
Apple iPhone 14 128 Go Minuit,805.0,4.4,12,https://www.amazon.fr/Apple-iPhone-14-128-Reconditionn%C3%A9/dp/B0BNLXKVNQ/ref=sr_1_6?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=UCBRMVJMBMGK&keywords=iPhone+14&qid=1692866451&sprefix=iphone+14%2Caps%2C74&sr=8-6,2023-08-24 10:40:55
Apple IPHONE 14 256GB Yellow EU,1417.11,,,https://www.amazon.fr/Apple-IPHONE-14-256GB-Yellow/dp/B0C5NW1MVH/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=UCBRMVJMBMGK&keywords=iPhone+14&qid=1692866451&sprefix=iphone+14%2Caps%2C74&sr=8-7,2023-08-24 10:40:55
Apple iPhone 14 Plus (128 Go) - Bleu,922.0,4.6,1285,https://www.amazon.fr/Apple-iPhone-14-Plus-128/dp/B0BDJGM7JB/ref=sr_1_8?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=UCBRMVJMBMGK&keywords=iPhone+14&qid=1692866451&sprefix=iphone+14%2Caps%2C74&sr=8-8,2023-08-24 10:40:55
Apple iPhone 14 Pro (128 Go) - Noir sidéral,1109.0,4.3,2831,https://www.amazon.fr/Apple-iPhone-14-Pro-128/dp/B0BDJ61GFY/ref=sr_1_9?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=UCBRMVJMBMGK&keywords=iPhone+14&qid=1692866451&sprefix=iphone+14%2Caps%2C74&sr=8-9,2023-08-24 10:40:55
Apple iPhone 14 Plus (128 Go) - Mauve (Reconditionné),749.0,4.0,20,https://www.amazon.fr/Apple-iPhone-Plus-128-Reconditionn%C3%A9/dp/B0BNMC7723/ref=sr_1_10?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=UCBRMVJMBMGK&keywords=iPhone+14&qid=1692866451&sprefix=iphone+14%2Caps%2C74&sr=8-10,2023-08-24 10:40:55
