name,price,rating,nb_ratings,link,scrape_date
"MEDION ERAZER Engineer P10, PC de Bureau Gamer - Intel Core i5-11400, 16 Go RAM, SSD 512 Go, Carte Graphique Nvidia RTX 3060Ti, PC Fixe avec Windows 11 Home Plus 64 Bit, MD35149 - Souris Incluse",950.99,5.0,1,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNDY4NTc5MTgxMzE3NTk5OjE2OTI4MzM3NTc6c3BfYXRmOjMwMDAyNTY5MTQ1MTAzMjo6MDo6&url=%2FMEDION-ERAZER-Engineer-Bureau-Gamer%2Fdp%2FB0BY6NX8T3%2Fref%3Dsr_1_1_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1ZCIO8Q4F9QOD%26keywords%3DLaptop%2BRTX%2B3060%26qid%3D1692833757%26sprefix%3Dlaptop%2Brtx%2B3060%252Caps%252C72%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2023-08-24 01:36:03
"KingnovyPC 16"" IPS Gaming Laptop i7 12700H avec NVIDIA RTX 3060 6G, 8GB RAM 256GB SSD, Windows 11 Notebook Gamer PC Computer WiFi6 BT5.2",903.99,,,https://www.amazon.fr/KingnovyPC-Gaming-Windows-Notebook-Computer/dp/B0C7W4N715/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-2,2023-08-24 01:36:03
"HP Victus 16-d0022sf PC Portable Gaming 16.1"" FHD IPS (Intel Core i5-11400H, RAM 16 Go, SSD 512 Go, NVIDIA GeForce RTX 3060, AZERTY, Windows 11) Argent mica - Jusqu'à 100€ remboursés",999.0,4.1,71,https://www.amazon.fr/HP-16-d0022sf-Portable-i5-11400H-GeForce/dp/B0BB36KKZ6/ref=sr_1_3?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-3,2023-08-24 01:36:03
"ASUS TUF F15-TUF507ZV4-LP121W PC Portable Gamer 15"" Full HD 144Hz (Intel Core i7-12700H, GeForce RTX 4060, 16G RAM, 512Go PCIe SSD) Windows 11 Clavier Rétroéclairé AZERTY Français RGB 1 Zone",1199.99,4.1,98,https://www.amazon.fr/ASUS-TUF-F15-TUF507ZV4-LP121W-i7-12700H-R%C3%A9tro%C3%A9clair%C3%A9/dp/B0BZT2NWT1/ref=sr_1_4?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-4,2023-08-24 01:36:03
"Lenovo IdeaPad Gaming 3 15IHU6 15.6"" Full HD (Intel Core i5-11300H, 8Go de RAM extensible 16Go, 512Go SSD,NVIDIA GeForce RTX 3050, Windows 11 Home) Clavier AZERTY rétroéclairé Français - Noir",649.99,4.2,75,https://www.amazon.fr/Lenovo-Ordinateur-Portable-i5-11300H-r%C3%A9tro%C3%A9clair%C3%A9/dp/B09S5YFTHN/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-5,2023-08-24 01:36:03
"HP Victus 15-fb0000sf PC Portable Gaming 15.6"" FHD (AMD Ryzen 5 5600H, RAM 8 Go, SSD 512 Go, NVIDIA GeForce GTX 1650 4GB, AZERTY, Windows 11) Argent mica - Jusqu'à 100€ remboursés",799.0,4.3,84,https://www.amazon.fr/HP-15-fb0000sf-Portable-GeForce-Windows/dp/B0BB3CDR15/ref=sr_1_6?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-6,2023-08-24 01:36:03
"Acer Nitro 5 AN515-57-59ZP Ordinateur Portable Gaming 15,6'' FHD IPS 144 Hz, PC Portable Gamer (Intel Core i5-11400H, NVIDIA GeForce RTX 3060, RAM 8 Go, 512 Go SSD, Windows 10) - Laptop Gaming Noir",1445.76,3.4,8,https://www.amazon.fr/Acer-AN515-57-59ZP-Ordinateur-Portable-i5-11400H/dp/B09D3MPRP6/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-7,2023-08-24 01:36:03
"Lenovo Ideapad Gaming 3 Ordinateur Portable Gaming 15.6 pouces LED 120Hz (Intel Core i5 11300H, RAM 8Go, SSD 512Go, Graphique NVIDIA GeForce RTX 3050, Windows 11 Home) - Noir",836.25,4.6,28,https://www.amazon.fr/Lenovo-Ideapad-Ordinateur-Portable-Graphique/dp/B091CW42D3/ref=sr_1_8?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-8,2023-08-24 01:36:03
"Alienware m15 R6 Intel Core i7 11800H Portable Gamer 15,6"" Full HD Dark Side of The Moon 360Hz 16Go de RAM SSD 512 Go NVIDIA GeForce RTX 3060 6Go GDDR6 Windows 11 Home Clavier AZERTY",1590.42,3.6,11,https://www.amazon.fr/Alienware-Portable-GeForce-Windows-Clavier/dp/B09N9J7TB7/ref=sr_1_9?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-9,2023-08-24 01:36:04
"Dell Inspiron 16 Plus 7630 Intel Core i7-13700H Ordinateur Portable 16"" 16:10 2.5K Platinum Silver 16 Go de RAM SSD 1TB NVIDIA GeForce RTX 4060 Win 11 Home Clavier AZERTY Français",1399.0,,,https://www.amazon.fr/Dell-Inspiron-i7-13700H-Ordinateur-Portable/dp/B0C7HB3R9C/ref=sr_1_10?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-10,2023-08-24 01:36:04
